"","IND","VAR","COU","PAR","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue","Total","Desc","Level","L1","L2","L3","L4","L5"
"1","D01T02","IMGR_FCO2","LUX","WLD","P1Y","TONNE","6","2018",0.349,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"2","D01T02","IMGR_FCO2","DNK","WLD","P1Y","TONNE","6","2018",0.511,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"3","D01T02","IMGR_FCO2","DEU","WLD","P1Y","TONNE","6","2018",9.882,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"4","D01T02","IMGR_FCO2","GRC","WLD","P1Y","TONNE","6","2018",0.594,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"5","D01T02","IMGR_FCO2","CZE","WLD","P1Y","TONNE","6","2018",0.732,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"6","D01T02","IMGR_FCO2","USA","WLD","P1Y","TONNE","6","2018",12.575,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"7","D01T02","IMGR_FCO2","PER","WLD","P1Y","TONNE","6","2018",0.53,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"8","D01T02","IMGR_FCO2","SWE","WLD","P1Y","TONNE","6","2018",0.979,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"9","D01T02","IMGR_FCO2","MMR","WLD","P1Y","TONNE","6","2018",0.08,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"10","D01T02","IMGR_FCO2","ITA","WLD","P1Y","TONNE","6","2018",4.52,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"11","D01T02","IMGR_FCO2","HRV","WLD","P1Y","TONNE","6","2018",0.166,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"12","D01T02","IMGR_FCO2","SAU","WLD","P1Y","TONNE","6","2018",1.637,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"13","D01T02","IMGR_FCO2","MEX","WLD","P1Y","TONNE","6","2018",3.582,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"14","D01T02","IMGR_FCO2","ZAF","WLD","P1Y","TONNE","6","2018",0.279,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"15","D01T02","IMGR_FCO2","HUN","WLD","P1Y","TONNE","6","2018",0.366,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"16","D01T02","IMGR_FCO2","BRA","WLD","P1Y","TONNE","6","2018",0.942,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"17","D01T02","IMGR_FCO2","IDN","WLD","P1Y","TONNE","6","2018",2.996,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"18","D01T02","IMGR_FCO2","FRA","WLD","P1Y","TONNE","6","2018",3.798,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"19","D01T02","IMGR_FCO2","RUS","WLD","P1Y","TONNE","6","2018",3.013,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
"20","D01T02","IMGR_FCO2","LTU","WLD","P1Y","TONNE","6","2018",0.18,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry","3","DTOTAL","D01T03","D01T02","",""
